stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
3200,,"Torņakalna stacija",,56.93017,24.08835,https://saraksti.rigassatiksme.lv,,
3192,,"Vienības gatve/Bērnu slimnīca",,56.92118,24.08945,https://saraksti.rigassatiksme.lv,,
3193,,"Jelgavas iela",,56.92388,24.08988,https://saraksti.rigassatiksme.lv,,
3202,,"Jelgavas iela/Bērnu slimnīca",,56.92366,24.08979,https://saraksti.rigassatiksme.lv,,
3194,,"Satiksmes iela",,56.92736,24.09073,https://saraksti.rigassatiksme.lv,,
3201,,"Satiksmes iela",,56.92760,24.09078,https://saraksti.rigassatiksme.lv,,
3203,,"Telts iela",,56.92008,24.08890,https://saraksti.rigassatiksme.lv,,
3009,,"Grēcinieku iela",,56.94570,24.10606,https://saraksti.rigassatiksme.lv,,
3012,,"Grēcinieku iela",,56.94595,24.10565,https://saraksti.rigassatiksme.lv,,
3021,,"Zasulauka stacija",,56.94216,24.05212,https://saraksti.rigassatiksme.lv,,
3000,,"Zasulauka stacija",,56.94190,24.05316,https://saraksti.rigassatiksme.lv,,
3001,,"Kalnciema iela",,56.94074,24.05733,https://saraksti.rigassatiksme.lv,,
3020,,"Kalnciema iela",,56.94049,24.05752,https://saraksti.rigassatiksme.lv,,
3022,,"Elvīras iela",,56.94615,24.04844,https://saraksti.rigassatiksme.lv,,
3030,,"Elvīras iela",,56.94587,24.04864,https://saraksti.rigassatiksme.lv,,
3023,,"Kandavas iela",,56.94892,24.04690,https://saraksti.rigassatiksme.lv,,
3029,,"Kandavas iela",,56.94896,24.04683,https://saraksti.rigassatiksme.lv,,
3188,,"Mazā Stērstu iela",,56.91370,24.11707,https://saraksti.rigassatiksme.lv,,
3207,,"Mazā Stērstu iela",,56.91381,24.11626,https://saraksti.rigassatiksme.lv,,
3190,,"Skaistkalnes iela",,56.91788,24.10355,https://saraksti.rigassatiksme.lv,,
3205,,"Skaistkalnes iela",,56.91774,24.10387,https://saraksti.rigassatiksme.lv,,
3189,,"Stērstu iela/CSDD",,56.91513,24.11186,https://saraksti.rigassatiksme.lv,,
3206,,"Stērstu iela/CSDD",,56.91495,24.11233,https://saraksti.rigassatiksme.lv,,
3187,,"Ziepniekkalna iela",,56.91514,24.12305,https://saraksti.rigassatiksme.lv,,
3208,,"Ziepniekkalna iela",,56.91402,24.12143,https://saraksti.rigassatiksme.lv,,
