"Biznesa institūts ""RIMPAK Livonija""",Uzņēmuma un iestādes vadība,Profesionālā bakalaura studiju programma
"Biznesa institūts ""RIMPAK Livonija""",Uzņēmuma un iestādes vadība,Profesionālā bakalaura studiju programma
"Biznesa institūts ""RIMPAK Livonija""",Vadības zinības (ar integrētu sociālo zinātņu bakalaura standartu vadībzinātnē),Profesionālā bakalaura studiju programma
Daugavpils medicīnas koledža,Ārstniecība,1.līmeņa profesionālā studiju programma
Daugavpils medicīnas koledža,Māszinības,1.līmeņa profesionālā studiju programma
Daugavpils medicīnas koledža,Sociālā aprūpe,1.līmeņa profesionālā studiju programma
Daugavpils medicīnas koledža,Sociālā rehabilitācija,1.līmeņa profesionālā studiju programma
Daugavpils Universitāte,Angļu valodas skolotājs pamatskolā,Profesionālā studiju programma
Daugavpils Universitāte,Angļu valodas un pasaules kultūras vēstures skolotājs,Profesionālā studiju programma
Daugavpils Universitāte,"Angļu valodas, krievu literatūras, latviešu valodas skolotājs cittautu mācību valodas skolā",Profesionālā studiju programma
Daugavpils Universitāte,Austrumeiropas kultūras un biznesa sakari,Bakalaura studiju programma
Daugavpils Universitāte,Bioloģija,Bakalaura studiju programma
Daugavpils Universitāte,Bioloģija,Bakalaura studiju programma
Daugavpils Universitāte,Bioloģija,Maģistra studiju programma
Daugavpils Universitāte,Bioloģija,Maģistra studiju programma
Daugavpils Universitāte,Bioloģija,Maģistra studiju programma
Daugavpils Universitāte,Bioloģija,Doktora studiju programma
Daugavpils Universitāte,Bioloģija,Profesionālā studiju programma
Daugavpils Universitāte,Bioloģijas skolotājs,Profesionālā studiju programma
Daugavpils Universitāte,"Bioloģijas, ģeogrāfijas un mājturības skolotājs",Profesionālā studiju programma
Daugavpils Universitāte,"Bioloģijas, ģeogrāfijas un veselības mācības skolotājs",Profesionālā studiju programma
Daugavpils Universitāte,"Bioloģijas, ķīmijas un veselības mācības skolotājs",Profesionālā studiju programma
Daugavpils Universitāte,"Bioloģijas, mājturības un ķīmijas skolotājs",Profesionālā studiju programma
Daugavpils Universitāte,"Bioloģijas, mājturības un veselības mācības skolotājs",Profesionālā studiju programma
Daugavpils Universitāte,Cietvielu fizika,Doktora studiju programma
Daugavpils Universitāte,Cietvielu fizika,Doktora studiju programma
Daugavpils Universitāte,Civilā drošība un aizsardzība,1.līmeņa profesionālā studiju programma
Daugavpils Universitāte,Dabaszinības,Profesionālā bakalaura studiju programma
Daugavpils Universitāte,Dabaszinību un mājturības skolotājs,Profesionālā studiju programma
Daugavpils Universitāte,Darba aizsardzība,Profesionālā maģistra studiju programma
Daugavpils Universitāte,Datordizains,Profesionālā bakalaura studiju programma
Daugavpils Universitāte,Datordizains,Profesionālā bakalaura studiju programma
Daugavpils Universitāte,Datorzinātnes,Bakalaura studiju programma
Daugavpils Universitāte,Datorzinātnes,Bakalaura studiju programma
Daugavpils Universitāte,Datorzinātnes,Maģistra studiju programma
Daugavpils Universitāte,Datorzinātnes,Maģistra studiju programma
Daugavpils Universitāte,Datorzinātnes,Maģistra studiju programma
Daugavpils Universitāte,Deju skolotājs,Profesionālā studiju programma
